0001;Mvto. de Int. y Desarroll                         ;Movimiento de Integración y Desarrollo                                                              ;
0002;Partido Justicialista                             ;Partido Justicialista                                                                               ;
0003;Unión Cívica Radical                              ;Unión Cívica Radical                                                                                ;
0005;Partido Demócrata Cristia                         ;Partido Demócrata Cristiano                                                                         ;
0008;Partido Federal                                   ;Partido Federal                                                                                     ;
0014;Partido Obrero                                    ;Partido Obrero                                                                                      ;
0022;Partido Humanista                                 ;Partido Humanista                                                                                   ;
0023;Unión Popular                                     ;Unión Popular                                                                                       ;
0036;Partido Autonomista                               ;Partido Autonomista                                                                                 ;
0038;Mvto. Socialista de los T                         ;Movimiento Socialista de los Trabajadores                                                           ;
0040;Mvto. Libres del Sur                              ;Movimiento Libres del Sur                                                                           ;
0047;Coalición Civica - ARI                            ;Coalición Civica - Afirmación para una República Igualitaria ARI                                    ;
0050;Partido Socialista                                ;Partido Socialista                                                                                  ;
0055;Pro-Propuesta Republicana                         ;Pro-Propuesta Republicana                                                                           ;
0060;Mvto. Indte. de Jubil. y                          ;Movimiento Independiente de Jubilados y Desocupados                                                 ;
0061;Iz.por una Opción Sociali                         ;Izquierda por una Opción Socialista                                                                 ;
0063;Es Posible                                        ;Es Posible                                                                                          ;
0068;Nueva Izquierda                                   ;Nueva Izquierda                                                                                     ;
0069;GEN                                               ;GEN                                                                                                 ;
0131;Al.Fte. para la Victoria                          ;Alianza Frente para la Victoria                                                                     ;
0132;Al.Fte. Popular                                   ;Alianza Frente Popular                                                                              ;
0133;Alianza Comp. Federal                             ;Alianza Compromiso Federal                                                                          ;
0134;Al. Fte. Amplio Progresis                         ;Alianza Frente Amplio Progresista                                                                   ;
0135;Al.Fte. de Iz. y de los T                         ;Alianza Frente de Izquierda y de los Trabajadores                                                   ;
0137;Al. Unión para el Des.Soc                         ;Alianza Unión para el Desarrollo Social                                                             ;
0150;Mvto. Popular Neuquino                            ;Movimiento Popular Neuquino                                                                         ;
0151;Partido Indte. de Chubut                          ;Partido Independiente de Chubut                                                                     ;
0152;P. Provincial Rionegrino                          ;Partido Provincial Rionegrino                                                                       ;
0153;Cruzada Renovadora                                ;Cruzada Renovadora                                                                                  ;
0154;Mvto. Popular Fueguino                            ;Movimiento Popular Fueguino                                                                         ;
0156;Acción Chaqueña                                   ;Acción Chaqueña                                                                                     ;
0157;Unión Provincial                                  ;Unión Provincial                                                                                    ;
0166;P.por la Justicia Social                          ;Partido por la Justicia Social                                                                      ;
0168;Partido Dignidad Ciudadan                         ;Partido Dignidad Ciudadana                                                                          ;
0174;Partido Popular                                   ;Partido Popular                                                                                     ;
0176;P. Popular de la Reconst.                         ;Partido Popular de la Reconstrucción                                                                ;
0177;Mvto. de Part. Ciudadana                          ;Movimiento de Participación Ciudadana                                                               ;
0178;Mvto. Indte. Renovador                            ;Movimiento Independiente Renovador                                                                  ;
0181;Acuerdo Rep. Federal                              ;Acuerdo Republicano Federal                                                                         ;
0183;Fortaleza                                         ;Fortaleza                                                                                           ;
0185;P. Cambio Pop. Tucumano                           ;Partido Cambio Popular Tucumano                                                                     ;
0186;Unión por la Libertad                             ;Unión por la Libertad                                                                               ;
0187;Partido Social Patagónico                         ;Partido Social Patagónico                                                                           ;
0188;Encuentro Popular                                 ;Encuentro Popular                                                                                   ;
0211;Iz.del Trab. por el Socia                         ;Izquierda del Trabajador por el Socialismo                                                          ;
0302;P. de la Ciudad en Acción                         ;Partido de la Ciudad en Acción                                                                      ;
0601;Alianza Comp. Federal                             ;Alianza Compromiso Federal                                                                          ;
0602;A.F.Pampe.C. y S.(FREPAM)                         ;Alianza Frente Pampeano Civico y Social (FREPAM)                                                    ;
0603;Al.Fte. para la Victoria                          ;Alianza Frente para la Victoria                                                                     ;
0604;Al.Fte. Popular                                   ;Alianza Frente Popular                                                                              ;
0605;Al.Fte. Popular Riojano                           ;Alianza Frente Popular Riojano                                                                      ;
0606;Al.Fte. Salteño                                   ;Alianza Frente Salteño                                                                              ;
0607;Frente para la Victoria                           ;Frente para la Victoria                                                                             ;
0608;Al. Fte. Amplio Progresis                         ;Alianza Frente Amplio Progresista                                                                   ;
0609;A.F.Cív.Fed-UDESO Mendoza                         ;Alianza Frente Cívico Federal - UDESO Mendoza                                                       ;
0610;Al.Fte. Cívico por Santia                         ;Alianza Frente Cívico por Santiago                                                                  ;
0611;Al. Fte. Cívico y Social                          ;Alianza Frente Cívico y Social                                                                      ;
0612;Al.Fte. Encuentro Sur                             ;Alianza Frente Encuentro Sur                                                                        ;
0613;Al.Fte. para la Vict. Rio                         ;Alianza Frente para la Victoria Riojana                                                             ;
0614;Al.Fte. Primero Jujuy                             ;Alianza Frente Primero Jujuy                                                                        ;
0615;Al.Fte.Ren.de la Concordi                         ;Alianza Frente Renovador de la Concordia                                                            ;
0616;Al.PRO - Prop.Republicana                         ;Alianza PRO - Propuesta Republicana                                                                 ;
0617;Al. Unión para el Des.Soc                         ;Alianza Unión para el Desarrollo Social                                                             ;
0618;Unión para el Des. Social                         ;Unión para el Desarrollo Social                                                                     ;
0619;Al.Fte. Federal                                   ;Alianza Frente Federal                                                                              ;
0620;Al.Fte. Pop. Unión Pro                            ;Alianza Frente Popular Unión Pro                                                                    ;
0621;Al.Fte. Compromiso Federa                         ;Alianza Frente Compromiso Federal                                                                   ;
0622;Alianza Proyecto Sur                              ;Alianza Proyecto Sur                                                                                ;
0623;Alianza Coalición Cívica                          ;Alianza Coalición Cívica - Afirmación para una República Igualitaria ARI                            ;
0624;Al.Just.(Distr. Córdoba)                          ;Alianza Justicialista (Distrito Córdoba)                                                            ;
0625;Al.Fte. de Iz. y de los T                         ;Alianza Frente de Izquierda y de los Trabajadores                                                   ;
9997;OTROS                                             ;OTROS                                                                                               ;
